entity_id,region,income_group_current
ABW,Latin America & Caribbean ,High income
AFG,"Middle East, North Africa, Afghanistan & Pakistan",Low income
AGO,Sub-Saharan Africa ,Lower middle income
ALB,Europe & Central Asia,Upper middle income
AND,Europe & Central Asia,High income
ARE,"Middle East, North Africa, Afghanistan & Pakistan",High income
ARG,Latin America & Caribbean ,Upper middle income
ARM,Europe & Central Asia,Upper middle income
ASM,East Asia & Pacific,High income
ATG,Latin America & Caribbean ,High income
AUS,East Asia & Pacific,High income
AUT,Europe & Central Asia,High income
AZE,Europe & Central Asia,Upper middle income
BDI,Sub-Saharan Africa ,Low income
BEL,Europe & Central Asia,High income
BEN,Sub-Saharan Africa ,Lower middle income
BFA,Sub-Saharan Africa ,Low income
BGD,South Asia,Lower middle income
BGR,Europe & Central Asia,High income
BHR,"Middle East, North Africa, Afghanistan & Pakistan",High income
BHS,Latin America & Caribbean ,High income
BIH,Europe & Central Asia,Upper middle income
BLR,Europe & Central Asia,Upper middle income
BLZ,Latin America & Caribbean ,Upper middle income
BMU,North America,High income
BOL,Latin America & Caribbean ,Lower middle income
BRA,Latin America & Caribbean ,Upper middle income
BRB,Latin America & Caribbean ,High income
BRN,East Asia & Pacific,High income
BTN,South Asia,Lower middle income
BWA,Sub-Saharan Africa ,Upper middle income
CAF,Sub-Saharan Africa ,Low income
CAN,North America,High income
CHE,Europe & Central Asia,High income
CHI,Europe & Central Asia,High income
CHL,Latin America & Caribbean ,High income
CHN,East Asia & Pacific,Upper middle income
CIV,Sub-Saharan Africa ,Lower middle income
CMR,Sub-Saharan Africa ,Lower middle income
COD,Sub-Saharan Africa ,Low income
COG,Sub-Saharan Africa ,Lower middle income
COL,Latin America & Caribbean ,Upper middle income
COM,Sub-Saharan Africa ,Lower middle income
CPV,Sub-Saharan Africa ,Upper middle income
CRI,Latin America & Caribbean ,High income
CUB,Latin America & Caribbean ,Upper middle income
CUW,Latin America & Caribbean ,High income
CYM,Latin America & Caribbean ,High income
CYP,Europe & Central Asia,High income
CZE,Europe & Central Asia,High income
DEU,Europe & Central Asia,High income
DJI,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income
DMA,Latin America & Caribbean ,Upper middle income
DNK,Europe & Central Asia,High income
DOM,Latin America & Caribbean ,Upper middle income
DZA,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income
ECU,Latin America & Caribbean ,Upper middle income
EGY,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income
ERI,Sub-Saharan Africa ,Low income
ESP,Europe & Central Asia,High income
EST,Europe & Central Asia,High income
ETH,Sub-Saharan Africa ,Low income
FIN,Europe & Central Asia,High income
FJI,East Asia & Pacific,Upper middle income
FRA,Europe & Central Asia,High income
FRO,Europe & Central Asia,High income
FSM,East Asia & Pacific,Upper middle income
GAB,Sub-Saharan Africa ,Upper middle income
GBR,Europe & Central Asia,High income
GEO,Europe & Central Asia,Upper middle income
GHA,Sub-Saharan Africa ,Lower middle income
GIB,Europe & Central Asia,High income
GIN,Sub-Saharan Africa ,Lower middle income
GMB,Sub-Saharan Africa ,Low income
GNB,Sub-Saharan Africa ,Low income
GNQ,Sub-Saharan Africa ,Upper middle income
GRC,Europe & Central Asia,High income
GRD,Latin America & Caribbean ,Upper middle income
GRL,Europe & Central Asia,High income
GTM,Latin America & Caribbean ,Upper middle income
GUM,East Asia & Pacific,High income
GUY,Latin America & Caribbean ,High income
HKG,East Asia & Pacific,High income
HND,Latin America & Caribbean ,Lower middle income
HRV,Europe & Central Asia,High income
HTI,Latin America & Caribbean ,Lower middle income
HUN,Europe & Central Asia,High income
IDN,East Asia & Pacific,Upper middle income
IMN,Europe & Central Asia,High income
IND,South Asia,Lower middle income
IRL,Europe & Central Asia,High income
IRN,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income
IRQ,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income
ISL,Europe & Central Asia,High income
ISR,"Middle East, North Africa, Afghanistan & Pakistan",High income
ITA,Europe & Central Asia,High income
JAM,Latin America & Caribbean ,Upper middle income
JOR,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income
JPN,East Asia & Pacific,High income
KAZ,Europe & Central Asia,Upper middle income
KEN,Sub-Saharan Africa ,Lower middle income
