source_name,entity_id,country_name,valid_from,valid_to,mapping_rationale,exclusion_status
Algeria,DZA,Algeria,1949,2025,exact normalized pycountry name,included
Libya,LBY,Libya,1949,2025,exact normalized pycountry name,included
Morocco,MAR,Morocco,1949,2025,exact normalized pycountry name,included
Tunisia,TUN,Tunisia,1949,2025,exact normalized pycountry name,included
Angola,AGO,Angola,1949,2025,exact normalized pycountry name,included
Benin,BEN,Benin,1949,2025,exact normalized pycountry name,included
Botswana,BWA,Botswana,1949,2025,exact normalized pycountry name,included
Burkina Faso,BFA,Burkina Faso,1949,2025,exact normalized pycountry name,included
Burundi,BDI,Burundi,1949,2025,exact normalized pycountry name,included
Cameroon,CMR,Cameroon,1949,2025,exact normalized pycountry name,included
Cape Verde,CPV,Cabo Verde,1949,2025,reviewed explicit alias,included
Central African Republic,CAF,Central African Republic,1949,2025,exact normalized pycountry name,included
Chad,TCD,Chad,1949,2025,exact normalized pycountry name,included
"Congo, DR",COD,"Congo, Democratic Republic of the",1949,2025,reviewed explicit alias,included
"Congo, Republic",COG,"Congo, Republic of the",1949,2025,reviewed explicit alias,included
Cote d'Ivoire,CIV,Côte d'Ivoire,1949,2025,reviewed explicit alias,included
Djibouti,DJI,Djibouti,1949,2025,exact normalized pycountry name,included
Equatorial Guinea,GNQ,Equatorial Guinea,1949,2025,exact normalized pycountry name,included
Eritrea,ERI,Eritrea,1949,2025,exact normalized pycountry name,included
Ethiopia,ETH,Ethiopia,1949,2025,exact normalized pycountry name,included
Gabon,GAB,Gabon,1949,2025,exact normalized pycountry name,included
"Gambia, The",GMB,Gambia,1949,2025,reviewed explicit alias,included
Ghana,GHA,Ghana,1949,2025,exact normalized pycountry name,included
Guinea,GIN,Guinea,1949,2025,exact normalized pycountry name,included
Guinea-Bissau,GNB,Guinea-Bissau,1949,2025,exact normalized pycountry name,included
Kenya,KEN,Kenya,1949,2025,exact normalized pycountry name,included
Lesotho,LSO,Lesotho,1949,2025,exact normalized pycountry name,included
Liberia,LBR,Liberia,1949,2025,exact normalized pycountry name,included
Madagascar,MDG,Madagascar,1949,2025,exact normalized pycountry name,included
Malawi,MWI,Malawi,1949,2025,exact normalized pycountry name,included
Mali,MLI,Mali,1949,2025,exact normalized pycountry name,included
Mauritania,MRT,Mauritania,1949,2025,exact normalized pycountry name,included
Mauritius,MUS,Mauritius,1949,2025,exact normalized pycountry name,included
Mozambique,MOZ,Mozambique,1949,2025,exact normalized pycountry name,included
Namibia,NAM,Namibia,1949,2025,exact normalized pycountry name,included
