sample,comparison,feature,feature_label,unit,reference_transition,contrast_transition,n_rows_reference,n_rows_contrast,n_countries_reference,n_countries_contrast,mean_reference,mean_contrast,mean_difference_contrast_minus_reference,bootstrap_ci_2_5,bootstrap_ci_97_5,bootstrap_replicates_requested,bootstrap_replicates_valid,smallest_to_largest_row_ratio,status
all_available_per_feature,onset_minus_continued_peace,trust_score,Trust/cooperation theme compatibility,"score in [0, 1]",continued_peace,onset,5224,159,185,72,0.33382409371509875,0.2978621813526554,-0.03596191236244334,-0.06713108142638023,-0.005627436224047995,2000,2000,0.0304364471669219,severe_row_imbalance_warning
all_available_per_feature,onset_minus_continued_peace,threat_score,Military-threat/security theme compatibility,"score in [0, 1]",continued_peace,onset,5224,159,185,72,0.09329067134329587,0.11760115306981267,0.0243104817265168,-0.001971315975011231,0.05237029929191869,2000,2000,0.0304364471669219,severe_row_imbalance_warning
all_available_per_feature,onset_minus_continued_peace,milex_share_gdp_t,Military expenditure share of GDP,proportion (0.03 = 3% of GDP),continued_peace,onset,3979,140,155,68,0.019274293839188533,0.02446666459919259,0.005192370760004058,-0.000266071142161279,0.012271813433315047,2000,2000,0.035184719778838906,severe_row_imbalance_warning
all_available_per_feature,continued_conflict_minus_cessation,trust_score,Trust/cooperation theme compatibility,"score in [0, 1]",cessation,continued_conflict,159,903,73,69,0.3036263315961531,0.2861179446782102,-0.017508386917942875,-0.05544057350792893,0.02040758881907116,2000,2000,0.1760797342192691,ok
all_available_per_feature,continued_conflict_minus_cessation,threat_score,Military-threat/security theme compatibility,"score in [0, 1]",cessation,continued_conflict,159,903,73,69,0.1179106502886934,0.14154084653981167,0.02363019625111827,-0.0020445664989767213,0.051974615055290586,2000,2000,0.1760797342192691,ok
all_available_per_feature,continued_conflict_minus_cessation,milex_share_gdp_t,Military expenditure share of GDP,proportion (0.03 = 3% of GDP),cessation,continued_conflict,136,816,60,64,0.03682714802948257,0.03075054745428528,-0.006076600575197294,-0.02735886919852925,0.006750029916582098,2000,2000,0.16666666666666666,ok
sipri_complete_identical,onset_minus_continued_peace,trust_score,Trust/cooperation theme compatibility,"score in [0, 1]",continued_peace,onset,3979,140,155,68,0.3418788597624397,0.30218585949180776,-0.03969300027063194,-0.07188625616028314,-0.007648006258916726,2000,2000,0.035184719778838906,severe_row_imbalance_warning
sipri_complete_identical,onset_minus_continued_peace,threat_score,Military-threat/security theme compatibility,"score in [0, 1]",continued_peace,onset,3979,140,155,68,0.09853106340083703,0.11270398933615154,0.01417292593531451,-0.013453327300076567,0.04414615615859908,2000,2000,0.035184719778838906,severe_row_imbalance_warning
sipri_complete_identical,onset_minus_continued_peace,milex_share_gdp_t,Military expenditure share of GDP,proportion (0.03 = 3% of GDP),continued_peace,onset,3979,140,155,68,0.019274293839188533,0.02446666459919259,0.005192370760004058,-0.000266071142161279,0.012271813433315047,2000,2000,0.035184719778838906,severe_row_imbalance_warning
sipri_complete_identical,continued_conflict_minus_cessation,trust_score,Trust/cooperation theme compatibility,"score in [0, 1]",cessation,continued_conflict,136,816,60,64,0.3167224831674134,0.2994668545720874,-0.017255628595326034,-0.057616211367645116,0.02174897191517024,2000,2000,0.16666666666666666,ok
sipri_complete_identical,continued_conflict_minus_cessation,threat_score,Military-threat/security theme compatibility,"score in [0, 1]",cessation,continued_conflict,136,816,60,64,0.12163538851972652,0.13421924227021406,0.01258385375048754,-0.014471116885494935,0.038650819244139906,2000,2000,0.16666666666666666,ok
sipri_complete_identical,continued_conflict_minus_cessation,milex_share_gdp_t,Military expenditure share of GDP,proportion (0.03 = 3% of GDP),cessation,continued_conflict,136,816,60,64,0.03682714802948257,0.03075054745428528,-0.006076600575197294,-0.02735886919852925,0.006750029916582098,2000,2000,0.16666666666666666,ok
