sample,transition,transition_label,feature,feature_label,unit,n_rows,n_countries,mean,median,q25,q75,iqr
all_available_per_feature,continued_peace,Continued peace (0→0),trust_score,Trust/cooperation theme compatibility,"score in [0, 1]",5224,185,0.33382409371509875,0.3207243412027719,0.19960790939685147,0.4466704583697235,0.24706254897287205
all_available_per_feature,continued_peace,Continued peace (0→0),threat_score,Military-threat/security theme compatibility,"score in [0, 1]",5224,185,0.09329067134329587,0.03825721877809993,0.009110260718885871,0.1506705940824371,0.14156033336355123
all_available_per_feature,continued_peace,Continued peace (0→0),milex_share_gdp_t,Military expenditure share of GDP,proportion (0.03 = 3% of GDP),3979,155,0.019274293839188533,0.014729015265598618,0.009406031143257476,0.02249416382592347,0.013088132682665994
all_available_per_feature,onset,Conflict onset (0→1),trust_score,Trust/cooperation theme compatibility,"score in [0, 1]",159,72,0.2978621813526554,0.27401855069375947,0.19342024732077578,0.404839335925153,0.2114190886043772
all_available_per_feature,onset,Conflict onset (0→1),threat_score,Military-threat/security theme compatibility,"score in [0, 1]",159,72,0.11760115306981267,0.062430982203151825,0.01589818126698808,0.18082501658691996,0.16492683531993188
all_available_per_feature,onset,Conflict onset (0→1),milex_share_gdp_t,Military expenditure share of GDP,proportion (0.03 = 3% of GDP),140,68,0.02446666459919259,0.016195624848537517,0.0119636654540345,0.031084483223011078,0.01912081776897658
all_available_per_feature,cessation,Conflict cessation (1→0),trust_score,Trust/cooperation theme compatibility,"score in [0, 1]",159,73,0.3036263315961531,0.3004061635478943,0.16652626084950398,0.4032131085009878,0.23668684765148382
all_available_per_feature,cessation,Conflict cessation (1→0),threat_score,Military-threat/security theme compatibility,"score in [0, 1]",159,73,0.1179106502886934,0.06195549175690925,0.020549909332158205,0.17842990160563488,0.15787999227347668
all_available_per_feature,cessation,Conflict cessation (1→0),milex_share_gdp_t,Military expenditure share of GDP,proportion (0.03 = 3% of GDP),136,60,0.03682714802948257,0.019592498858485453,0.01195349945955384,0.034462027668267003,0.022508528208713165
all_available_per_feature,continued_conflict,Continued conflict (1→1),trust_score,Trust/cooperation theme compatibility,"score in [0, 1]",903,69,0.2861179446782102,0.26652502126395583,0.15106161421760833,0.4002970567683599,0.24923544255075158
all_available_per_feature,continued_conflict,Continued conflict (1→1),threat_score,Military-threat/security theme compatibility,"score in [0, 1]",903,69,0.14154084653981167,0.10385862775740536,0.0258281751885878,0.21682246731002414,0.19099429212143634
all_available_per_feature,continued_conflict,Continued conflict (1→1),milex_share_gdp_t,Military expenditure share of GDP,proportion (0.03 = 3% of GDP),816,64,0.03075054745428528,0.02476222233964243,0.01335573585556937,0.03669172924048726,0.023335993384917892
sipri_complete_identical,continued_peace,Continued peace (0→0),trust_score,Trust/cooperation theme compatibility,"score in [0, 1]",3979,155,0.3418788597624397,0.3306387369055156,0.20762968752396477,0.4557495262348421,0.24811983871087734
sipri_complete_identical,continued_peace,Continued peace (0→0),threat_score,Military-threat/security theme compatibility,"score in [0, 1]",3979,155,0.09853106340083703,0.045927842355008484,0.011068745085049566,0.16100513625129287,0.1499363911662433
sipri_complete_identical,continued_peace,Continued peace (0→0),milex_share_gdp_t,Military expenditure share of GDP,proportion (0.03 = 3% of GDP),3979,155,0.019274293839188533,0.014729015265598618,0.009406031143257476,0.02249416382592347,0.013088132682665994
sipri_complete_identical,onset,Conflict onset (0→1),trust_score,Trust/cooperation theme compatibility,"score in [0, 1]",140,68,0.30218585949180776,0.2748738573095174,0.18447492592747913,0.40981355604674075,0.2253386301192616
sipri_complete_identical,onset,Conflict onset (0→1),threat_score,Military-threat/security theme compatibility,"score in [0, 1]",140,68,0.11270398933615154,0.06132420415999222,0.015534715870712337,0.17787105618065657,0.16233634030994423
sipri_complete_identical,onset,Conflict onset (0→1),milex_share_gdp_t,Military expenditure share of GDP,proportion (0.03 = 3% of GDP),140,68,0.02446666459919259,0.016195624848537517,0.0119636654540345,0.031084483223011078,0.01912081776897658
sipri_complete_identical,cessation,Conflict cessation (1→0),trust_score,Trust/cooperation theme compatibility,"score in [0, 1]",136,60,0.3167224831674134,0.3082075011487042,0.17842174947430123,0.4126897837131452,0.23426803423884396
sipri_complete_identical,cessation,Conflict cessation (1→0),threat_score,Military-threat/security theme compatibility,"score in [0, 1]",136,60,0.12163538851972652,0.08014292629025811,0.02238188282955303,0.18146719218469806,0.15908530935514503
sipri_complete_identical,cessation,Conflict cessation (1→0),milex_share_gdp_t,Military expenditure share of GDP,proportion (0.03 = 3% of GDP),136,60,0.03682714802948257,0.019592498858485453,0.01195349945955384,0.034462027668267003,0.022508528208713165
sipri_complete_identical,continued_conflict,Continued conflict (1→1),trust_score,Trust/cooperation theme compatibility,"score in [0, 1]",816,64,0.2994668545720874,0.27794149418532726,0.170732354546909,0.40794104615874494,0.23720869161183594
sipri_complete_identical,continued_conflict,Continued conflict (1→1),threat_score,Military-threat/security theme compatibility,"score in [0, 1]",816,64,0.13421924227021406,0.09669461706161707,0.024948127338824476,0.2042447407351734,0.17929661339634892
sipri_complete_identical,continued_conflict,Continued conflict (1→1),milex_share_gdp_t,Military expenditure share of GDP,proportion (0.03 = 3% of GDP),816,64,0.03075054745428528,0.02476222233964243,0.01335573585556937,0.03669172924048726,0.023335993384917892
